vax_facility_id,facility_vax_name,address_vax,city,state,zipcode_id,website_vax,phone_vax
109,Walmart Store #3110,7535 S Ashland Ave,Chicago,IL,23,https://www.walmart.com/cp/1228302,NULL
110,Walmart Store #3166,4720 S Cottage Grove Ave,Chicago,IL,18,https://www.walmart.com/cp/1228302,NULL
111,Walmart Store #5402,4650 W North Ave,Chicago,IL,40,https://www.walmart.com/cp/1228302,NULL
112,Walmart Store #5617,4626 W Diversey Ave,Chicago,IL,40,https://www.walmart.com/cp/1228302,NULL
113,Walmart Store #5645,2844 N Broadway St,Chicago,IL,56,https://www.walmart.com/cp/1228302,NULL
114,Walmart Store #5646,2551 W Cermak Rd,Chicago,IL,11,https://www.walmart.com/cp/1228302,NULL
115,Walmart Store #5781,8331 S Stewart Ave,Chicago,IL,23,https://www.walmart.com/cp/1228302,NULL
116,Walmart Store #5965,10900 S Doty Ave,Chicago,IL,30,https://www.walmart.com/cp/1228302,NULL
117,Rush University Medical Center,1653 W Congress Pkwy,Chicago,IL,15,https://www.rush.edu/patients-visitors/covid-19-resources/covid-19-vaccines/schedule-covid-19-vaccination,NULL
118,UI Health - UIC Credit Union 1 Arena,525 S Racine Ave,Chicago,Il,10,https://hospital.uillinois.edu/primary-and-specialty-care/infectious-diseases/covid-19-coronavirus/vaccine,NULL
